category,index,text,bucket,final_key,final_url,src_key,server_url,sample_rate,transcoded
확인,1,"네, 고객님 맞으십니다.",tts-bucket-250810,확인/01.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/01.wav,확인/71dc1dd0d1744b92ac105a812655e5f7_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/71dc1dd0d1744b92ac105a812655e5f7_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011724Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=0ec823de77fd8956f061b60a1987e2ed2021f3b4976d2d3e293f7073338f9faa,8000,no
확인,2,"네, 말씀하신 내용 확인했습니다.",tts-bucket-250810,확인/02.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/02.wav,확인/0c5eac492a564b03b5818fd073682803_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/0c5eac492a564b03b5818fd073682803_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011725Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=bf2cfd00493a5cb5771d1c7ef9f181d61202bdd0b17c135e2df5f17072554d2a,8000,no
확인,3,"네, 그렇게 진행하겠습니다.",tts-bucket-250810,확인/03.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/03.wav,확인/7268b23edcd44d2cafb3aeac2b6b1336_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/7268b23edcd44d2cafb3aeac2b6b1336_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011725Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=0e9af0e81dcaf510e5761bc750e44f5871c776857ddbb5831a2bf506c94a504e,8000,no
확인,4,알겠습니다. 그대로 처리할게요.,tts-bucket-250810,확인/04.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/04.wav,확인/e8483a0e3fc04a9ebaa2a361b8abbf9f_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/e8483a0e3fc04a9ebaa2a361b8abbf9f_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011726Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=75d345d0738e6d9ea8a4e042ad3e7975f5aa773899ce71b095e4b9bc3c93c5c3,8000,no
확인,5,"확인되었습니다, 잠시만 기다려 주세요.",tts-bucket-250810,확인/05.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/05.wav,확인/4b59238002594c4f83c1226e9c322833_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/4b59238002594c4f83c1226e9c322833_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011726Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=a6548a26e89c5e6798f8715e280bbd05e932ffb68a3fef1bb83504d9b45cd188,8000,no
확인,6,"네, 지금 바로 도와드릴게요.",tts-bucket-250810,확인/06.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/06.wav,확인/5c688dc3c4ce4b478d3165ab0948a8e8_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/5c688dc3c4ce4b478d3165ab0948a8e8_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011727Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=7a7aee80d786052d8abed0650219fe11903b424cc5cd3b017b1bfb94b80ec22f,8000,no
확인,7,"네, 안내드린 대로 진행하겠습니다.",tts-bucket-250810,확인/07.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/07.wav,확인/79d20c4dacd04b2faac9f0183cba06ec_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/79d20c4dacd04b2faac9f0183cba06ec_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011727Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=affdefd87feec565e60139230cb989a6c708e1344dc7c42d2f3ed832507a43ab,8000,no
확인,8,"네, 요청하신 부분 접수했습니다.",tts-bucket-250810,확인/08.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/08.wav,확인/a18a8210ff2b41e989047b45302ed779_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/a18a8210ff2b41e989047b45302ed779_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011728Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=50a60b39f0c9826b34a0833023f81d479380cb84d5fa63ee9654c01e5d2cb333,8000,no
확인,9,"네, 문제 없습니다.",tts-bucket-250810,확인/09.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/09.wav,확인/29fe7637fa1d464cab1a05c1d24d4b36_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/29fe7637fa1d464cab1a05c1d24d4b36_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011728Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=3f2677dc8aeb638f4bd21cbedd324c687b671ae3805726dfd6b97f88016e54ff,8000,no
확인,10,"네, 이어서 진행하겠습니다.",tts-bucket-250810,확인/10.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/확인/10.wav,확인/1e7e1345de4344c782dd703bed7c88d7_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%ED%99%95%EC%9D%B8/1e7e1345de4344c782dd703bed7c88d7_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011729Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=63a527b06c35544882daf87a879491d778673430ea5845374648648864d9eeec,8000,no
설명,1,"안내드리자면, 이런 절차로 진행됩니다.",tts-bucket-250810,설명/01.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/01.wav,설명/dd41f82f236c43dda85cd09e428a1ba0_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/dd41f82f236c43dda85cd09e428a1ba0_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011729Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=9db50b098e4d055f58f9301864a0f053d704856cc427bd815e52968a02b0ef99,8000,no
설명,2,간단히 말씀드리면요…,tts-bucket-250810,설명/02.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/02.wav,설명/1bf50eb1fbb84c2d9c58bf1db45c99f3_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/1bf50eb1fbb84c2d9c58bf1db45c99f3_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011730Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=8639cc465b06f924021a9ddb3e736f553417378fbe15f5ca5a84abcfb7989a99,8000,no
설명,3,먼저 한 가지 확인 후 설명드릴게요.,tts-bucket-250810,설명/03.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/03.wav,설명/f10be81e34c34be6867164f523607692_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/f10be81e34c34be6867164f523607692_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011730Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=c3ba352714ccf6effea69386ebab2543d90042bd738fa216f785e424a34b7bff,8000,no
설명,4,순서대로 설명드리겠습니다.,tts-bucket-250810,설명/04.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/04.wav,설명/4a27f9ad39a64d45b643a7acc1d03d09_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/4a27f9ad39a64d45b643a7acc1d03d09_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011731Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=b8896c747bfcccfe08dc8e047224ba19f4955a1aa23896da51af9524017b3221,8000,no
설명,5,요약해서 말씀드리면요…,tts-bucket-250810,설명/05.wav,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/설명/05.wav,설명/d3862ce068794c8ca639c125b975e5ba_mulaw_8000hz.wav,https://tts-bucket-250810.s3.amazonaws.com/%EC%84%A4%EB%AA%85/d3862ce068794c8ca639c125b975e5ba_mulaw_8000hz.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5FTZEYGKJO6ZSQHB%2F20250912%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20250912T011731Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=216d0de7c6264937f5788e753581c6f4e78c9547834a4ca6338a82119abe5dc2,8000,no
