response_text,count,audio_s3_uri,response_hash,locale,audio_http_url
"네, 기존 거래처 있으시군요. 혹시 비교견적만 받아보시고 결정하셔도 됩니다.",32,s3://tts-bucket-250810/chatbot-bank/5778e77b1020048022e8e4c0f84aa7688d53771c4ac6a885bb7bbc175540a3bd.wav,5778e77b1020048022e8e4c0f84aa7688d53771c4ac6a885bb7bbc175540a3bd,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/5778e77b1020048022e8e4c0f84aa7688d53771c4ac6a885bb7bbc175540a3bd.wav
알겠습니다. 혹시 조건 확인해보시고 싶으시면 언제든 연락 주세요.,27,s3://tts-bucket-250810/chatbot-bank/d518faee1cc9f86eda46203a2e65b411ea8698344fc8ac6037f6e2b64903e0de.wav,d518faee1cc9f86eda46203a2e65b411ea8698344fc8ac6037f6e2b64903e0de,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/d518faee1cc9f86eda46203a2e65b411ea8698344fc8ac6037f6e2b64903e0de.wav
이해합니다. 그래도 한 번 비교만 받아보시는 건 어떠세요? 수수료 7%와 높은 체결율이 강점입니다.,26,s3://tts-bucket-250810/chatbot-bank/291b5a8186d684923d42b033c56eae92a1c3c183b6fb03adc871ae08d445f7fd.wav,291b5a8186d684923d42b033c56eae92a1c3c183b6fb03adc871ae08d445f7fd,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/291b5a8186d684923d42b033c56eae92a1c3c183b6fb03adc871ae08d445f7fd.wav
"네, 이해합니다. 명함만 남겨드릴게요. 비교 필요하실 때 연락 주세요.",25,s3://tts-bucket-250810/chatbot-bank/921d497ef3c1450b8536a1546970d4bb89ffda78c4949bd44c2ccdc0c2c95cb7.wav,921d497ef3c1450b8536a1546970d4bb89ffda78c4949bd44c2ccdc0c2c95cb7,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/921d497ef3c1450b8536a1546970d4bb89ffda78c4949bd44c2ccdc0c2c95cb7.wav
"안녕하세요, 차집사 다이렉트입니다. 보험료 비교 안내 간단히 드려도 될까요?",22,s3://tts-bucket-250810/chatbot-bank/78ffc97e0c86665c296f6c69b8df28d2920658150f5ea511c8cb8a43184a1625.wav,78ffc97e0c86665c296f6c69b8df28d2920658150f5ea511c8cb8a43184a1625,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/78ffc97e0c86665c296f6c69b8df28d2920658150f5ea511c8cb8a43184a1625.wav
"네, 안녕하세요. 차집사 다이렉트 상담원입니다.",21,s3://tts-bucket-250810/chatbot-bank/5de824180f258806d820a343d1ea2a01703785e4134c81d3ae10da4e23ec1acf.wav,5de824180f258806d820a343d1ea2a01703785e4134c81d3ae10da4e23ec1acf,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/5de824180f258806d820a343d1ea2a01703785e4134c81d3ae10da4e23ec1acf.wav
"안녕하세요, 자동차 보험 비교·가입 도와드리는 차집사 다이렉트입니다. 잠시 통화 가능하실까요?",19,s3://tts-bucket-250810/chatbot-bank/6f204e56c1bf300a18ae6572355dbc14f9249a0e8dc7b59b939e4d6b3f09f6ad.wav,6f204e56c1bf300a18ae6572355dbc14f9249a0e8dc7b59b939e4d6b3f09f6ad,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/6f204e56c1bf300a18ae6572355dbc14f9249a0e8dc7b59b939e4d6b3f09f6ad.wav
소개 수수료는 7%이며 지급 시점은 익일 오후입니다. 원하시면 지금 비교 견적 접수해 드릴까요?,18,s3://tts-bucket-250810/chatbot-bank/5aa0676ec7907098e0a7c4354b65e85513f0c78600dff0dca5e697997b830a88.wav,5aa0676ec7907098e0a7c4354b65e85513f0c78600dff0dca5e697997b830a88,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/5aa0676ec7907098e0a7c4354b65e85513f0c78600dff0dca5e697997b830a88.wav
저희 차집사는 인슈넷 FC 제휴사로 여러 보험사와 연계해 최적의 자동차보험료를 찾아드립니다.,17,s3://tts-bucket-250810/chatbot-bank/052f0415cbc2aab96186f18168eb7185fa718aad629e79e90ce2120eeaaf3bff.wav,052f0415cbc2aab96186f18168eb7185fa718aad629e79e90ce2120eeaaf3bff,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/052f0415cbc2aab96186f18168eb7185fa718aad629e79e90ce2120eeaaf3bff.wav
AI ARS 1668-4007 번호로 가입 고객의 보험사에 직접 연결되며 긴급출동 안내도 가능합니다.,15,s3://tts-bucket-250810/chatbot-bank/abf1f70e81401e704f4ccf4f188a7bcef05b46048fc524b5c57dd24526616a8a.wav,abf1f70e81401e704f4ccf4f188a7bcef05b46048fc524b5c57dd24526616a8a,ko-KR,https://tts-bucket-250810.s3.ap-northeast-2.amazonaws.com/chatbot-bank/abf1f70e81401e704f4ccf4f188a7bcef05b46048fc524b5c57dd24526616a8a.wav
