"inbox_id","approved_at","cache_both","contact_id","dual_hash_cached","locale","needs_review","proposed_response_text","response_audio_uri","response_hash","response_norm","review_status","turn_ts","updated_at","utterance_hash","utterance_norm","utterance_text"
"ed7ef7a1a8e645d8b33134e0ac46f0b4","","true","a0513ef2-ba8d-45a4-b50b-e323c68f88db","","ko-KR","true","""죄송합니다. 다른 업체와 계약 중이신가요? 저희는 수수료 7% 조건으로 진행하고 있으니, 기회가 되시면 언제든지 연락 주세요! 명함 문자로 보내드릴게요.""","","ea828ffe0d11aab5","""죄송합니다. 다른 업체와 계약 중이신가요? 저희는 수수료 7% 조건으로 진행하고 있으니, 기회가 되시면 언제든지 연락 주세요! 명함 문자로 보내드릴게요""","open","1759200730","","60516d2ad4c349ff","지금 바","지금 바"
"9c987edf56714a7180308005d25e08d2","1758845626","true","test-005","true","ko-KR","true","""네, 알겠습니다! 카톡으로 내용을 남겨드릴게요. 감사합니다!""","s3://tts-bucket-250810/approved/responses/b06ca537d8717a4c/eb4d97a177db497287168846f4bcf900.wav","b06ca537d8717a4c","""네, 알겠습니다! 카톡으로 내용을 남겨드릴게요. 감사합니다""","approved","1758845188","1758845664","0db0bc36a98d0e95","제가 회의중이라서요","제가 회의중이라서요"
"000e6add7b4b4a1fb760ad2287cd6500","1758845635","true","test-004","true","ko-KR","true","죄송합니다. 다시 말씀해 주시면 더 정확하게 도와드리겠습니다. 어떤 부분이 궁금하신가요?","s3://tts-bucket-250810/approved/responses/74acd7c8f419fed2/17fe06dc9cc84b62a5bf42ddbaee6066.wav","74acd7c8f419fed2","죄송합니다. 다시 말씀해 주시면 더 정확하게 도와드리겠습니다. 어떤 부분이 궁금하신가요","approved","1758845186","1758845664","e8295c6b386a8f8d","아닙니다","아닙니다"
"895d7e77d2134f05b49cbf608c49cb06","1758845649","true","test-001","true","ko-KR","true","""네, 알겠습니다. 간단히 말씀드리자면, 자동차보험 소개 시 수수료를 드리는 프로그램이 있습니다. 자세한 내용은 문자로 보내드리겠습니다. 감사합니다!""","s3://tts-bucket-250810/approved/responses/85d0966cc892bc94/77b5485c7e7a47cc92c7fa39b904a4d3.wav","85d0966cc892bc94","""네, 알겠습니다. 간단히 말씀드리자면, 자동차보험 소개 시 수수료를 드리는 프로그램이 있습니다. 자세한 내용은 문자로 보내드리겠습니다. 감사합니다""","approved","1758845179","1758845664","9f6a8bb951557851","회의중입니다","회의중입니다"
"f95e9ec7e78e4857a72e89795b3ea203","1758845657","true","test-006","true","ko-KR","true","""네, 감사합니다! 언제든지 전화 주시면 빠르게 도와드리겠습니다. 좋은 하루 되세요!""","s3://tts-bucket-250810/approved/responses/d29db2fb9c5851e8/c98fe51ef5794d18b5703b02e70314f3.wav","d29db2fb9c5851e8","""네, 감사합니다! 언제든지 전화 주시면 빠르게 도와드리겠습니다. 좋은 하루 되세요""","approved","1758845190","1758845664","36dfac4b3e39738e","나중에 전화드리겠습니다","나중에 전화드리겠습니다"
"77c4efdaeede4a8e97acad4384d4c533","1758845664","true","test-002","true","ko-KR","true","""네, 상담 중이시군요. 도움이 필요하시면 언제든지 말씀해 주세요!""","s3://tts-bucket-250810/approved/responses/906a9492d7715e7b/71d961640ca34d54abe722eddf76676b.wav","906a9492d7715e7b","""네, 상담 중이시군요. 도움이 필요하시면 언제든지 말씀해 주세요""","approved","1758845182","1758845664","a7ca0778a5ebc153","상담중입니다","상담중입니다"
"0f6b4e0aa74f417f90474588f9b8ccf3","1758855770","true","test-823","true","ko-KR","true","이해합니다. 저희는 믿을 수 있는 다이렉트 자동차보험 비교견적 서비스입니다. 궁금하신 점 있으시면 자세히 설명드릴 수 있어요. 추가 정보 문자로 보내드릴까요?","s3://tts-bucket-250810/approved/responses/1b0b0f8a1828a1a5/68632a712d264ce3ad2b3cf0f8ed7fd3.wav","1b0b0f8a1828a1a5","이해합니다. 저희는 믿을 수 있는 다이렉트 자동차보험 비교견적 서비스입니다. 궁금하신 점 있으시면 자세히 설명드릴 수 있어요. 추가 정보 문자로 보내드릴까요","approved","1758850850","1758871852","a58fa9faa71d9884","혹시 뭔가 수상한데요","혹시 뭔가 수상한데요."
"58a58d63b6a54f3e82797cb7eac43ed0","1758855778","true","test-1178","true","ko-KR","true","""네, 알겠습니다. 관심 있으시면 언제든지 연락 주세요. 감사합니다!""","s3://tts-bucket-250810/approved/responses/841be5dcf0fee28f/261a45026f95482ab707c6ffed2e8ab3.wav","841be5dcf0fee28f","""네, 알겠습니다. 관심 있으시면 언제든지 연락 주세요. 감사합니다""","approved","1758852734","1758871852","0485b7b714057543","지금은 괜찮습니다","지금은 괜찮습니다."
"ce844cb63f5f42ae8627c4c1569130f2","1758855797","true","test-068","true","ko-KR","true","""좋습니다! 그러면 구체적인 혜택과 절차를 안내해드리겠습니다. 고객님이 자동차를 판매할 때 저희에게 소개해주시면, 최대 7%의 광고비를 다음날 바로 지급해드립니다. 추가 질문 있으신가요?""","s3://tts-bucket-250810/approved/responses/b9d18cd9e6f529e8/098693ef674a4a989d47568cd7f5d3c9.wav","b9d18cd9e6f529e8","""좋습니다! 그러면 구체적인 혜택과 절차를 안내해드리겠습니다. 고객님이 자동차를 판매할 때 저희에게 소개해주시면, 최대 7%의 광고비를 다음날 바로 지급해드립니다. 추가 질문 있으신가요""","approved","1758848850","1758871852","6f691846d793e14e","어 괜찮습니다","어 괜찮습니다"
"7b6315be49b84ba299b6f57fac020c40","1758855810","true","test-1007","true","ko-KR","true","""계약 기간이 남아있으시더라도 저희와 연결해주시면, 보험 만기 시 재가입 시에 혜택을 드릴 수 있습니다. 더 궁금하신 점 있으신가요?""","s3://tts-bucket-250810/approved/responses/471b74f7ceaa18fe/ba950f69abb045e9ad48e04c21991e0d.wav","471b74f7ceaa18fe","""계약 기간이 남아있으시더라도 저희와 연결해주시면, 보험 만기 시 재가입 시에 혜택을 드릴 수 있습니다. 더 궁금하신 점 있으신가요""","approved","1758851481","1758871852","1cc47c4281a6462f","혹시 계약 기간이 남아있어요","혹시 계약 기간이 남아있어요."
