"inbox_id","approved_at","cache_both","contact_id","dual_hash_cached","locale","needs_review","proposed_response_text","response_audio_uri","response_hash","response_norm","review_status","turn_ts","utterance_hash","utterance_norm","utterance_text"
"de03e6e8644e4d3aa3dc391c48f19fda","1758681418","true","test-005","true","ko-KR","true","안녕하세요! 차집사 상담원입니다. 자동차보험 광고 제안 드리려고 연락드렸습니다. 잠깐 시간 괜찮으신가요?","s3://tts-bucket-250810/approved/responses/de03e6e8644e4d3aa3dc391c48f19fda/1758681418.wav","a41ea580930380b9","안녕하세요 차집사 상담원입니다 자동차보험 광고 제안 드리려고 연락드렸습니다 잠깐 시간 괜찮으신가요","approved_dual_hash_fixed","1758681390","2c68318e35297111","안녕하세요","안녕하세요"
"5855dbc5f2a14e27b8053202c0b88d99","","true","test-008","","ko-KR","true","""네, 기존 보험이 있으셔도 가입 가능합니다. 다이렉트 보험으로 전환하시면 수수료 혜택을 드리니 많은 관심 부탁드립니다!""","","cc009ef16af824cc","네 기존 보험이 있으셔도 가입 가능합니다 다이렉트 보험으로 전환하시면 수수료 혜택을 드리니 많은 관심 부탁드립니다","open","1758686569","1aae126825a1007c","제가 지금 보험이 있는데도 가입할 수 있나요","""제가 지금 보험이 있는데도 가입할 수 있나요?,"""
"9aa7256fb7954486a60f2fecd0e63007","","true","test-006","","ko-KR","true","""다이렉트 가입은 사고 건수에 따라 달라지며, 사고가 많으신 경우 오프라인 가입이 가능하니 걱정하지 않으셔도 됩니다. 자세한 조건은 문의주시면 안내해드리겠습니다!""","","ebb7f3906ac5db40","다이렉트 가입은 사고 건수에 따라 달라지며 사고가 많으신 경우 오프라인 가입이 가능하니 걱정하지 않으셔도 됩니다 자세한 조건은 문의주시면 안내해드리겠습니다","open","1758686564","12d1296474e15bd3","어떤 조건이 있어야 가입할 수 있나요","""어떤 조건이 있어야 가입할 수 있나요?,"""
"dfe2f4cbbd27401181a3d5825779d387","","true","test-004","","ko-KR","true","""보험료는 고객님께 직접 안내드리는 부분이라 구체적인 금액은 상담 후에 확인 가능해요. 비교견적 후 안내해드리니, 관심 있으시면 말씀해 주세요!""","","e31feb82babbf03e","보험료는 고객님께 직접 안내드리는 부분이라 구체적인 금액은 상담 후에 확인 가능해요 비교견적 후 안내해드리니 관심 있으시면 말씀해 주세요","open","1758686558","d28a7184c434f984","실제로 제가 내야 하는 금액은 얼마예요","""실제로 제가 내야 하는 금액은 얼마예요?,"""
"512c4f66eba24e039708915fb67e479e","","true","test-011","","ko-KR","true","""네, 가입은 즉시 가능합니다. 고객님이 소개해 주시면 익일 오후에 7% 수수료를 바로 지급해드립니다.""","","a9664af4583c4706","네 가입은 즉시 가능합니다 고객님이 소개해 주시면 익일 오후에 7 percent 수수료를 바로 지급해드립니다","open","1758686577","30fe07b508de2234","바로 가입이 되나요","""바로 가입이 되나요?,"""
"c6f782c6f0f044488af65fc1426a8df8","","true","869915ce-6c99-4411-9d35-2058d4c15d18","","ko-KR","true","""네, 알겠습니다! 어떤 내용으로 바꿔드릴까요?""","","e7a5f0dde69b735b","네 알겠습니다 어떤 내용으로 바꿔드릴까요","open","1758682052","936bb516e355bbcd","바꿔요","바꿔요"
"959259c5ff4e471f97d811b497e75b6f","","true","test-015","","ko-KR","true","이번에 새로 만든 팀은 보험사 연도 대상자 출신들로 구성된 전문가 팀입니다. 이 팀이 고객님들에게 더 나은 서비스를 제공할 수 있도록 노력하고 있습니다.","","6b19d930ca014e4f","이번에 새로 만든 팀은 보험사 연도 대상자 출신들로 구성된 전문가 팀입니다 이 팀이 고객님들에게 더 나은 서비스를 제공할 수 있도록 노력하고 있습니다","open","1758686587","8f8cd680854e7b0f","이번에 새로 만든 팀은 어떤 팀인가요","""이번에 새로 만든 팀은 어떤 팀인가요?,"""
"882c9603687e4c1697e4533429317ff4","","true","test-026","","ko-KR","true","""네, 알겠습니다. 간단한 정보 문자 보내드릴게요. 감사합니다!""","","550d9e8a37bf3a1d","네 알겠습니다 간단한 정보 문자 보내드릴게요 감사합니다","open","1758686614","bb4184182ff21218","그만 연락해 주세요","그만 연락해 주세요."
"c066a79d91c24b1d8e26d8093a5fc221","","true","test-023","","ko-KR","true","""네, 명함 문자로 남겨드릴게요~ 감사합니다!""","","d6d39b8966a2e787","네 명함 문자로 남겨드릴게요 감사합니다","open","1758686606","1061c387695b5f77","문자로 보내주세요","""문자로 보내주세요.,"""
"a7d2f0b42cd14a6c98ca695a191f4c82","","true","test-020","","ko-KR","true","""네, 명함 문자로 남겨드릴게요~ 연락처와 혜택 내용도 함께 보내드리겠습니다!""","","72f8f94904e98659","네 명함 문자로 남겨드릴게요 연락처와 혜택 내용도 함께 보내드리겠습니다","open","1758686601","f9a077ddd8639f7b","명함은 문자로 보내주실 수 있나요","""명함은 문자로 보내주실 수 있나요?,"""
"93a8da7c9ce843debfbeb2eae650411c","","true","test-009","","ko-KR","true","수수료는 다음날 바로 지급됩니다.","","3f9631178500283a","수수료는 다음날 바로 지급됩니다","open","1758686571","b993a5101f09e6c6","수수료는 언제 지급되나요","""수수료는 언제 지급되나요?,"""
"9292240e8a634131a6174b46becb0272","","true","test-025","","ko-KR","true","""네, 다른 업체 이용 중이시군요. 저희는 **수수료 7% 조건**으로 진행하고 있으니, 필요하실 때 연락주시면 좋겠습니다. 추가로 **홍보 문구**와 함께 문자 보내드릴게요. 감사합니다!""","","eb3383f1e014fc0d","네 다른 업체 이용 중이시군요 저희는 수수료 7 percent 조건 으로 진행하고 있으니 필요하실 때 연락주시면 좋겠습니다 추가로 홍보 문구 와 함께 문자 보내드릴게요 감사합니다","open","1758686611","192f4f940dad6d50","이미 다른 데 가입했어요","""이미 다른 데 가입했어요.,"""
"922c17ee222a42a1a3c03502ba1d201b","","true","test-024","","ko-KR","true","""네, 알겠습니다. 차집사에 관심이 생기시면 언제든지 연락 주세요. 감사합니다! 📱""","","6091ab4f022c56fa","네 알겠습니다 차집사에 관심이 생기시면 언제든지 연락 주세요 감사합니다","open","1758686608","951d9c505e9ab33d","관심 없어요","""관심 없어요.,"""
"6d0f2bc49623425bbe71b1ed7861cbf8","","true","test-022","","ko-KR","true","""네, 알겠습니다. 그러면 카톡으로 내용을 남겨드릴게요. 감사합니다!""","","b3a6def302e05c54","네 알겠습니다 그러면 카톡으로 내용을 남겨드릴게요 감사합니다","open","1758686604","8c3e585f6f38fc4f","나중에 다시 전화 주세요","""나중에 다시 전화 주세요.,"""
"6a23929bbcac4d1da6682e08d64dcb57","","true","test-010","","ko-KR","true","가입 절차는 간단하고 보통 **30분** 이내에 완료됩니다. 필요한 정보만 주시면 빠르게 진행해드릴게요!","","932f341aaa1c69a3","가입 절차는 간단하고 보통 30분 이내에 완료됩니다 필요한 정보만 주시면 빠르게 진행해드릴게요","open","1758686574","65edc299ea13feed","처리 시간은 얼마나 걸리나요","""처리 시간은 얼마나 걸리나요?,"""
"59af467ec2bd48e4a76a18965153f0a8","","true","test-003","","ko-KR","true","""아니요, 다른 비용은 없습니다. 고객님이 소개해주신 보험 가입자에게는 광고비가 지급되는 구조입니다. 추가 비용 걱정 없이 진행하실 수 있습니다.""","","cfd665cb4a0d9295","아니요 다른 비용은 없습니다 고객님이 소개해주신 보험 가입자에게는 광고비가 지급되는 구조입니다 추가 비용 걱정 없이 진행하실 수 있습니다","open","1758686555","95fd5c20a3b4bfce","다른 비용은 없나요","""다른 비용은 없나요?,"""
