utterance_hash,locale,dur_in_sec,speech_end_sec,dur_trim_sec,final_key,status,note
45856337b65c29c1df6c5971f212e9b0aa84378f61ec563610292ace327b62a7,ko-KR,12.660,12.580,12.580,ko-KR/45856337b65c29c1df6c5971f212e9b0aa84378f61ec563610292ace327b62a7.wav,ok,다이렉트 가입은 사고 이력이 적은 고객님께 가능합니다. 사고건이 많거나 특별한 경우는 오프라인으로 가입할 수 있습니다. 필요하신 조건이나 상세 내용은 언제든지 문의 주세요!
d28c13028d0aaf6d7e59ded3a41097257452f46605ff43437bae4a981c1b7bda,ko-KR,6.260,6.180,6.180,ko-KR/d28c13028d0aaf6d7e59ded3a41097257452f46605ff43437bae4a981c1b7bda.wav,ok,원하실 때 언제든지 연락 주시면 됩니다. 제 번호 저장해 두시고 필요하실 때 연락 주세요!
b16139f21de8cac20e4b0f61aeb33413e57bf96f23874e8e0692f02901bcf26f,ko-KR,11.660,11.580,11.580,ko-KR/b16139f21de8cac20e4b0f61aeb33413e57bf96f23874e8e0692f02901bcf26f.wav,ok,"네, 차집사는 인증된 다이렉트 보험 비교견적 회사입니다. 삼성과 제휴하여 신뢰할 수 있는 서비스를 제공하고 있습니다. 추가 질문 있으시면 언제든지 말씀해 주세요!"
95fcd8f342e7b5604c083b36322a5f4d64d34abf2d25afffe8f2260512e952db,ko-KR,8.120,8.040,8.040,ko-KR/95fcd8f342e7b5604c083b36322a5f4d64d34abf2d25afffe8f2260512e952db.wav,ok,안녕하세요! 차집사 김은주입니다. 자동차보험 연결해주시면 광고비로 최대 7 퍼센트 지급해드려요. 관심 있으신가요?
54374fe162a1ffadfc7c26b890943f3b89dd98027f0c6427e0a23fd0a5bd2633,ko-KR,8.820,8.740,8.740,ko-KR/54374fe162a1ffadfc7c26b890943f3b89dd98027f0c6427e0a23fd0a5bd2633.wav,ok,"네, 저희 홈페이지 주소는 더블유 더블유 더블유 점 chajipsa 닷컴 입니다. 확인해 보시고 궁금한 점 있으면 언제든지 연락 주세요!"
9de6e6dfaf96f69336cda96ba61303f1e412761f52711a84a8bf9b2fe6349446,ko-KR,9.800,9.720,9.720,ko-KR/9de6e6dfaf96f69336cda96ba61303f1e412761f52711a84a8bf9b2fe6349446.wav,ok,"네, 사고가 많아도 오프라인으로 가입이 가능하십니다. 이 경우 10 퍼센트 수수료를 지급해드려요. 추가 문의사항 있으시면 언제든지 말씀해 주세요!"
7f41f502659deb1fbab41768715414637398fb921bea19211885bd56528841dd,ko-KR,9.940,9.860,9.860,ko-KR/7f41f502659deb1fbab41768715414637398fb921bea19211885bd56528841dd.wav,ok,"네, 보장받을 수 있습니다. 고객님이 소개해주신 분이 보험에 가입하면 해당 금액에 따라 수수료를 지급해드립니다. 더 궁금한 점 있으시면 말씀해 주세요!"
87a6d4c6ef001c6daed9344ab3a3e73174ec47f44b77cffc2e4f7d60c0c528a3,ko-KR,4.380,4.300,4.300,ko-KR/87a6d4c6ef001c6daed9344ab3a3e73174ec47f44b77cffc2e4f7d60c0c528a3.wav,ok,성사 시에는 익일 지급해드리고 있습니다. 빠르게 확인하실 수 있어요!
85283455620bf9b3d69322fd4b08f086e3afe3e17f3d6d0a61f4a2ca6aea6212,ko-KR,7.900,7.820,7.820,ko-KR/85283455620bf9b3d69322fd4b08f086e3afe3e17f3d6d0a61f4a2ca6aea6212.wav,ok,"네, 알겠⁠습니다! 간단한 홍보 문구와 제안 내용 문자로 보내드릴게요. 감사합니다!"
400602a93ab60871f28acbde692830ab1249749ea9d29778960d8eda123a9215,ko-KR,5.200,5.120,5.120,ko-KR/400602a93ab60871f28acbde692830ab1249749ea9d29778960d8eda123a9215.wav,ok,아주 간단하게 1-2분 정도만 소요됩니다. 잠시 시간 괜찮으신가요?
820bcb96ec15e5366cacfba442d75479932ea05f7a725a7808848530d5118d21,ko-KR,8.520,8.440,8.440,ko-KR/820bcb96ec15e5366cacfba442d75479932ea05f7a725a7808848530d5118d21.wav,ok,"수수료는 익일 오후에 바로 지급해드리고 있으며, 증빙 발급 가능합니다. 추가적인 질문이 있으시면 언제든지 말씀해 주세요!"
62a0e8820f4325216c94b05d29b3261885e7b5fd3863373a31361efa3020d0e4,ko-KR,10.080,10.000,10.000,ko-KR/62a0e8820f4325216c94b05d29b3261885e7b5fd3863373a31361efa3020d0e4.wav,ok,"네, 맞습니다! 사고가 많아도 오프라인으로 가입이 가능하며, 최대 10 퍼센트의 수수료를 지급해드립니다. 관심 있으시면 언제든지 문의해 주세요!"
ea7c9ed44576869eb3c9812abd5f840579a1162dc6762843b8856cb7ee81d422,ko-KR,1.740,1.660,1.660,ko-KR/ea7c9ed44576869eb3c9812abd5f840579a1162dc6762843b8856cb7ee81d422.wav,ok,혹시 전화 그만 끊을게요.
539d1da3e60fcb2730d8d4f0f7f65e5a7624064523bffb8e2aea0312bfe9ce4b,ko-KR,8.780,8.700,8.700,ko-KR/539d1da3e60fcb2730d8d4f0f7f65e5a7624064523bffb8e2aea0312bfe9ce4b.wav,ok,"네, 비교해보시는 건 좋습니다! 😊 견적 의뢰만 주셔도 CU 모바일 상품권 5천원을 드리니, 언제든지 연락주세요! 감사합니다."
805276563908f53c1ac174b6ed0a5dd3f69a3c2e1bd865af0759e83d994cc110,ko-KR,2.240,2.160,2.160,ko-KR/805276563908f53c1ac174b6ed0a5dd3f69a3c2e1bd865af0759e83d994cc110.wav,ok,음 수수료 지급 증명서 주나요?
3f37a053716e4ff41524413e57d34aa7c3ce2dceb29be7e5f05de14047db653d,ko-KR,8.280,8.200,8.200,ko-KR/3f37a053716e4ff41524413e57d34aa7c3ce2dceb29be7e5f05de14047db653d.wav,ok,"네, 맞습니다. 차집사는 금융감독원에 등록된 업체입니다. 안정적으로 서비스를 제공하고 있습니다. 추가 질문 있으신가요?"
e3b36f214014819fe732e32988910c3b3205dc5f7af3170755c24acc4b203de4,ko-KR,11.360,11.280,11.280,ko-KR/e3b36f214014819fe732e32988910c3b3205dc5f7af3170755c24acc4b203de4.wav,ok,좋으신가요? 😊 그럼 구체적인 혜택과 절차 안내해드릴게요. 고객님이 보험을 소개해주시면 7 퍼센트 수수료를 다음날 바로 지급해드립니다. 더 궁금하신 점 있으신가요?
85bcc27437aae07f707c5ec692bb7123b7dd1c880f4b920dd7a6aaa62959bae0,ko-KR,13.120,13.040,13.040,ko-KR/85bcc27437aae07f707c5ec692bb7123b7dd1c880f4b920dd7a6aaa62959bae0.wav,ok,죄송합니다. 수상하게 느끼셨다면 사과드립니다. 저희는 고객님들께 더 나은 보험 서비스를 제공하고자 연락드렸습니다. 간단한 정보만 드릴 수 있으니 문자로도 안내해드릴게요. 감사합니다.
3bd4605e03e77c01b17a895604a26ad0d3f8efe0ff6b4acb0d5141d4bfa6c85c,ko-KR,2.600,2.520,2.520,ko-KR/3bd4605e03e77c01b17a895604a26ad0d3f8efe0ff6b4acb0d5141d4bfa6c85c.wav,ok,실례지만 견적만 받아볼 수 있나요?
27d8ae96e3a948ba3f09c600025d6d0e40a64eb1ab00fd05bb5e9d87240faee9,ko-KR,2.100,2.020,2.020,ko-KR/27d8ae96e3a948ba3f09c600025d6d0e40a64eb1ab00fd05bb5e9d87240faee9.wav,ok,혹시 해지하면 손해 아닌가요?
1461c14312b93b7834f25137f73f5ea293b0df54f7770ad31e222f084c3e25ce,ko-KR,8.851,8.780,8.780,ko-KR/1461c14312b93b7834f25137f73f5ea293b0df54f7770ad31e222f084c3e25ce.wav,ok,저희 차집사에서는 고객님이 자동차를 판매할 때 보험 가입 고객을 소개해주시면 최대 7 퍼센트의 광고비를 지급해드립니다. 관심 있으신가요?
38fbe4f929bd747d45d1116fedeadc0d9ea633d6d78f51b6d75995d50c686115,ko-KR,2.880,2.800,2.800,ko-KR/38fbe4f929bd747d45d1116fedeadc0d9ea633d6d78f51b6d75995d50c686115.wav,ok,죄송하지만 오프라인도 정말 되나요?
9286d3537f9d23404ac29ff80081a6252b3f4cef0cd16ede16847521a8a8940a,ko-KR,7.360,7.280,7.280,ko-KR/9286d3537f9d23404ac29ff80081a6252b3f4cef0cd16ede16847521a8a8940a.wav,ok,체결율은 95 퍼센트 이상으로 많은 분들이 함께 하고 계십니다. 이 점도 큰 장점이니 많은 문의 부탁드립니다!
51c8c39daa3b1a83cc4724bb9c39d5939d009bc968de2613b20abbcd4dc45f78,ko-KR,16.700,16.620,16.620,ko-KR/51c8c39daa3b1a83cc4724bb9c39d5939d009bc968de2613b20abbcd4dc45f78.wav,ok,"네, 고객님! 자동차를 판매할 때 저희에게 고객을 소개해주시면, 소개 건당 최대 7 퍼센트의 광고비를 다음날 바로 지급해드립니다. 또한, 첫 문의 시에는 CU 5천원 상품권도 드리니 많은 소개 부탁드립니다. 궁금하신 점 있으시면 언제든지 말씀해 주세요!"
ec342221e2b9c6ceab9d67169cac9eef37235f3af85bfb9ae5b321ff663fcbd9,ko-KR,12.427,12.360,12.360,ko-KR/ec342221e2b9c6ceab9d67169cac9eef37235f3af85bfb9ae5b321ff663fcbd9.wav,ok,"네, 현재 이용 중인 업체가 괜찮으시다면 괜찮습니다. 하지만 저희는 수수료 7 퍼센트와 높은 체결율 95 퍼센트로 많은 분들이 함께 하고 있어요. 필요하시면 언제든지 연락주세요! 😊…"
840b1561854895abc35a4fedd7d9009da3610cd080003d964860884335d5466c,ko-KR,12.280,12.200,12.200,ko-KR/840b1561854895abc35a4fedd7d9009da3610cd080003d964860884335d5466c.wav,ok,"아, 이미 가입하셨군요! 그럼 저희 서비스는 필요 없으실 수도 있지만, 혹시라도 보험 갱신 시기나 변경 필요할 때도 연락 주시면 좋을 것 같습니다. 문자로 혜택 안내 드릴게요! 감사합니다!"
